[rosmaster.main][INFO] 2022-03-11 19:51:33,414: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-03-11 19:51:33,414: Starting ROS Master Node
[xmlrpc][INFO] 2022-03-11 19:51:33,423: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-03-11 19:51:33,424: Started XML-RPC server [http://397f0c6d95e6:11311/]
[xmlrpc][INFO] 2022-03-11 19:51:33,424: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-03-11 19:51:33,424: Master initialized: port[11311], uri[http://397f0c6d95e6:11311/]
[rosmaster.master][INFO] 2022-03-11 19:51:33,503: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-03-11 19:51:33,514: +PARAM [/roslaunch/uris/host_397f0c6d95e6__41915] by /roslaunch
[rosmaster.master][INFO] 2022-03-11 19:51:33,600: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-03-11 19:51:33,601: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-03-11 19:51:33,623: +SERVICE [/rosout/get_loggers] /rosout http://397f0c6d95e6:39389/
[rosmaster.master][INFO] 2022-03-11 19:51:33,627: +SERVICE [/rosout/set_logger_level] /rosout http://397f0c6d95e6:39389/
[rosmaster.master][INFO] 2022-03-11 19:51:33,628: +PUB [/rosout_agg] /rosout http://397f0c6d95e6:39389/
[rosmaster.master][INFO] 2022-03-11 19:51:33,630: +SUB [/rosout] /rosout http://397f0c6d95e6:39389/
[rosmaster.master][INFO] 2022-03-11 19:51:36,233: +PUB [/rosout] /listener_148_1647028296115 http://df8de75260f5:37245/
[rosmaster.master][INFO] 2022-03-11 19:51:36,235: +SERVICE [/listener_148_1647028296115/get_loggers] /listener_148_1647028296115 http://df8de75260f5:37245/
[rosmaster.master][INFO] 2022-03-11 19:51:36,236: +SERVICE [/listener_148_1647028296115/set_logger_level] /listener_148_1647028296115 http://df8de75260f5:37245/
[rosmaster.master][INFO] 2022-03-11 19:51:36,238: +SUB [/chatter] /listener_148_1647028296115 http://df8de75260f5:37245/
[rosmaster.master][INFO] 2022-03-11 19:51:36,239: publisherUpdate[/rosout] -> http://397f0c6d95e6:39389/ ['http://df8de75260f5:37245/']
[rosmaster.master][INFO] 2022-03-11 19:51:36,261: publisherUpdate[/rosout] -> http://397f0c6d95e6:39389/ ['http://df8de75260f5:37245/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-11 19:51:37,006: +PUB [/chatter] /talker_1_1647028296988 http://1107cb20c376:46033/
[rosmaster.master][INFO] 2022-03-11 19:51:37,044: publisherUpdate[/chatter] -> http://df8de75260f5:37245/ ['http://1107cb20c376:46033/']
[rosmaster.master][INFO] 2022-03-11 19:51:37,047: publisherUpdate[/chatter] -> http://df8de75260f5:37245/ ['http://1107cb20c376:46033/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-11 19:51:37,105: +PUB [/rosout] /talker_1_1647028296988 http://1107cb20c376:46033/
